# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c1a27
     0.01%  oshrun           [unknown]                   [k] 0xffffffffb7e55467
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887c91
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7945240
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7984b5f
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7e65690
     0.00%  prterun          libc-2.28.so                [.] _int_realloc
     0.00%  prterun          libpmix.so.2.13.3           [.] pack_server_keyindex_blob
     0.00%  srun             libc-2.28.so                [.] parse_bracket_element.constprop.38
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78c9d4f
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e68800
     0.00%  srun             [unknown]                   [k] 0xffffffffb780da85
     0.00%  oshrun           ld-2.28.so                  [.] _dl_cache_libcmp
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78d4abb
     0.00%  oshrun           ld-2.28.so                  [.] strchr
     0.00%  oshrun           ld-2.28.so                  [.] _dl_load_cache_lookup
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e632fc
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb780d365
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78a5760
     0.00%  oshrun           ld-2.28.so                  [.] strcmp
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784f2dc
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55467
     0.00%  prterun          libpmix.so.2.13.3           [.] rsdes
     0.00%  prterun          ld-2.28.so                  [.] _dl_fixup
     0.00%  prterun          libc-2.28.so                [.] malloc
     0.00%  srun             [unknown]                   [k] 0xffffffffb7d85486
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e5563c
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7667ddd
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_ptl_base_send_recv
     0.00%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.00%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.00%  srun             [unknown]                   [k] 0xffffffffb785f877
     0.00%  prterun          libc-2.28.so                [.] _IO_vasprintf
     0.00%  prterun          [unknown]                   [k] 0xffffffffb8000013
     0.00%  srun             ld-2.28.so                  [.] strchr
     0.00%  prterun          libc-2.28.so                [.] _int_malloc
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7667dfc
     0.00%  prterun          [unknown]                   [k] 0xffffffffc1716e35
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7623952
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc0
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc171e56f
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e686de
     0.00%  srun             ld-2.28.so                  [.] do_lookup_x
     0.00%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.00%  prterun          libpthread-2.28.so          [.] start_thread
     0.00%  prterun          libc-2.28.so                [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  srun             libc-2.28.so                [.] _setjmp
     0.00%  srun             [unknown]                   [k] 0xffffffffb78a577f
     0.00%  prterun          libc-2.28.so                [.] __sched_cpufree
     0.00%  prterun          [unknown]                   [k] 0xffffffffb761d52b
     0.00%  prterun          [unknown]                   [k] 0xffffffffb784fb6a
     0.00%  prterun          [unknown]                   [k] 0xffffffffb785525b
     0.00%  srun             libc-2.28.so                [.] realloc
