# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7860aeb
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7835ac6
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7856c31
     0.00%  prterun          [unknown]                   [k] 0xffffffffb76239a6
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e48b96
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e55467
     0.00%  oshrun           ld-2.28.so                  [.] _dl_name_match_p
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e65c85
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e55641
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7747d8b
     0.00%  prterun          [unknown]                   [k] 0xffffffffb797c1b5
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eda7
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000000700c
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] _init
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix41_bfrops_base_unpack_general_int
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7858b5b
     0.00%  prterun          libpmix.so.2.13.3           [.] sevcon
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785f836
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78dc430
     0.00%  prterun          [unknown]                   [k] 0xffffffffb761d52b
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78a578b
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] 0x000000000001b10b
     0.00%  prterun          libpmix.so.2.13.3           [.] reg_event_hdlr
     0.00%  oshrun           ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.00%  prterun          libc-2.28.so                [.] _IO_getline
     0.00%  prterun          libnl-route-3.so.200.26.0   [.] rtnl_tc_register
     0.00%  prterun          libpthread-2.28.so          [.] start_thread
     0.00%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.00%  prterun          libc-2.28.so                [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  prterun          [unknown]                   [k] 0xffffffffc170ac89
     0.00%  srun             libc-2.28.so                [.] __sigjmp_save
     0.00%  srun             [unknown]                   [k] 0xffffffffb7887501
     0.00%  prterun          libc-2.28.so                [.] __call_tls_dtors
