# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.04%  prterun          [unknown]                [k] 0xffffffffb7a0d483
     0.04%  oshm_get_mr.exe  libc-2.28.so             [.] malloc
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78b4c9a
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e5563c
     0.04%  oshrun           libpthread-2.28.so       [.] 0x00000000000067e4
     0.04%  oshm_get_mr.exe  libc-2.28.so             [.] _IO_no_init
     0.04%  prterun          libc-2.28.so             [.] getenv
     0.04%  prterun          [unknown]                [k] 0xffffffffb7e4de60
     0.04%  oshrun           mpirun                   [.] opal_util_keyval_yylex
     0.04%  prterun          [unknown]                [k] 0xffffffffb78894f1
     0.04%  prterun          [unknown]                [k] 0xffffffffb78875d5
     0.04%  oshm_get_mr.exe  libc-2.28.so             [.] _IO_getline_info
     0.04%  prterun          [unknown]                [k] 0xffffffffb78c5cfc
     0.04%  prterun          [unknown]                [k] 0xffffffffb78c5c89
     0.04%  prterun          [unknown]                [k] 0xffffffffb7726de4
     0.04%  oshrun           ld-2.28.so               [.] _dl_fixup
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78c56ab
     0.04%  prterun          libc-2.28.so             [.] __memchr_avx2
     0.04%  prterun          libc-2.28.so             [.] __strdup
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb79341c0
     0.03%  prterun          libc-2.28.so             [.] __rawmemchr_avx2
     0.03%  prterun          ld-2.28.so               [.] _dl_name_match_p
     0.03%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_vsnprintf_safe@plt
     0.03%  prterun          libc-2.28.so             [.] _IO_vsscanf
     0.03%  prterun          [unknown]                [k] 0xffffffffb7800b7c
     0.02%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x000000000002bc0d
     0.02%  prterun          ld-2.28.so               [.] do_lookup_x
     0.02%  prterun          libpmix.so.2.13.3        [.] pmix_hash_table_get_value_uint32
     0.02%  prterun          libc-2.28.so             [.] __strcmp_avx2
     0.02%  prterun          libc-2.28.so             [.] __strncmp_avx2
     0.02%  prterun          libpmix.so.2.13.3        [.] pmix_hash_table_init2
     0.02%  prterun          [unknown]                [k] 0xffffffffb7e55127
     0.02%  prterun          ld-2.28.so               [.] strcmp
     0.02%  prterun          [unknown]                [k] 0xffffffffb78d50dc
     0.02%  oshm_get_mr.exe  ld-2.28.so               [.] _dl_relocate_object
     0.02%  prterun          ld-2.28.so               [.] _dl_map_object_deps
     0.01%  prterun          [unknown]                [k] 0xffffffffb7945279
     0.01%  prterun          [unknown]                [k] 0xffffffffb797c1d6
     0.01%  prterun          [unknown]                [k] 0xffffffffb7984a50
     0.01%  prterun          [unknown]                [k] 0xffffffffb78a58b0
     0.01%  prterun          libc-2.28.so             [.] __closedir
     0.01%  prterun          [unknown]                [k] 0xffffffffb7e4de63
     0.01%  oshm_get_mr.exe  ld-2.28.so               [.] _dl_check_map_versions
     0.01%  prterun          [unknown]                [k] 0xffffffffb7984b5f
     0.01%  oshrun           ld-2.28.so               [.] strcmp
