# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e57c74
     0.04%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.04%  prterun          [unknown]                   [k] 0xffffffffb794475a
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78c4061
     0.04%  srun             libc-2.28.so                [.] _int_malloc
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7984aed
     0.04%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_wireup_is_reachable
     0.04%  srun             [unknown]                   [k] 0xffffffffb7a1eb11
     0.04%  prterun          libc-2.28.so                [.] __GI___readdir64
     0.04%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc5c
     0.04%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_t_init
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7856426
     0.04%  prterun          libpmix.so.2.13.3           [.] PMIx_Check_key
     0.03%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbce
     0.03%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.03%  srun             libnss_files-2.28.so        [.] internal_getent
     0.03%  prterun          libc-2.28.so                [.] _IO_sputbackc
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb781944e
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e63305
     0.02%  srun             hash_k12.so                 [.] KeccakP1600_Permute_12rounds
     0.02%  prterun          ld-2.28.so                  [.] strcmp
     0.02%  prterun          ld-2.28.so                  [.] _dl_relocate_object
     0.02%  srun             libc-2.28.so                [.] __libc_readline_unlocked
     0.02%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.02%  prterun          [unknown]                   [k] 0xffffffffb78c5630
     0.02%  prterun          libc-2.28.so                [.] _IO_vsscanf
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7984a50
     0.02%  prterun          ld-2.28.so                  [.] _dl_check_map_versions
     0.02%  prterun          ld-2.28.so                  [.] check_match
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7a0d682
     0.02%  prterun          [unknown]                   [k] 0xffffffffb772596a
     0.02%  srun             libc-2.28.so                [.] merge_state_with_log
     0.02%  oshrun           ld-2.28.so                  [.] do_lookup_x
     0.01%  oshrun           ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.01%  srun             ld-2.28.so                  [.] strcmp
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c5c6a
     0.01%  srun             ld-2.28.so                  [.] _dl_load_cache_lookup
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016a4f
